sha,date,segment,is_merge,dominant_subsystem,class,subject
ef9666aa27fcb8dc3348d62955b448890e63a7ec,2026-08-24,FORGE_F1,no,DOCS,DOC_RECEIPT_ONLY,docs(forge-f1): Phase 8 deliverables - operating laws + ownership map; promotion gate script; promgate receipt banked from ANVIL 2f41cdc
531e8be83f6b2fdd5b0eb925464cc03aa1f3e31f,2026-08-24,FORGE_F1,no,SHARED_STORE,OLMOE_REQUIRED,feat(olmoe): Phase 7 second-consumer port onto shared pread/LRU store - duplicate machinery deleted (~500-line class)
b2c337b215462fbc7e484a40cf258160f9c25467,2026-08-24,FORGE_F1,no,SHARED_STORE,FORGE_CORE_REQUIRED,fix(expert-store): explicit slots_per_layer descriptor budget - fixes Stage C real-container over-provision
ca7e9e49e5a8b03a8b5b1485757cf6675f2d4020,2026-08-24,FORGE_F1,no,SHARED_STORE,FORGE_CORE_REQUIRED,feat(qwen36): Stage B - batch + async finish concurrency routed through shared admission runner
dda965f341fe8828c568c3e387201eb4ce93cbda,2026-08-24,FORGE_F1,no,QWEN36,GENERATED_OR_ACCIDENTAL,chore(forge-f1): untrack stray build binaries (qwen36_trace_replay; qwen36_policy_sim) + gitignore
66d4660f85cf90fd5bb32a973708825ae8223818,2026-08-24,FORGE_F1,no,DOCS,DOC_RECEIPT_ONLY,docs(forge-f1): Stage A handoff - gates; mechanics invariants; exact continuation plan
a54f834f2e2eccef40b0abaa0d3c3c2578dde41c,2026-08-24,FORGE_F1,no,SHARED_STORE,QWEN36_REQUIRED,feat(qwen36): Stage A port onto shared pread/LRU store - live cache extracted; bit-identical vs baseline
3bd496ebab45ffd6c3f9963843fb1a0446c55c6f,2026-08-24,FORGE_F1,no,QWEN36,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,feat(telemetry): engine-agnostic v3/v4 stream writers + counters aggregate; qwen36 emitters rerouted with zero format drift
77c117cfd49b38d3cedb7c9860bba3dc7c49af76,2026-08-23,FORGE_F1,no,SHARED_STORE,FORGE_CORE_REQUIRED,feat(admission): scheduler policy layer over ExpertStore reservation state
61b819ab26017891f4d2d5cfad0cb0317586717c,2026-08-23,FORGE_F1,no,SHARED_STORE,FORGE_CORE_REQUIRED,feat(expert-backend): shared pread/LRU backend extracted from qwen36 - full store+reservation seam
35e947551abc232d3281922915a53aec8f166a45,2026-08-23,FORGE_F1,no,DEEPSEEK,FORGE_CORE_REQUIRED,feat(expert-store-registry): de-couple from DeepSeek - model-neutral ColiExpertStoreDescriptor + v2 open interface
e8cc76ea405765d39d54e92c423a14eb6d8d1f16,2026-08-23,FORGE_F1,no,TESTS,FORGE_CORE_REQUIRED,feat(expert-store): v1.1 additive reservation surface - reserve/publish/abort; pin/unpin; batch lookup; widened stats
518965ffe8e09f68a7ac33867a8ed595d7517c5a,2026-08-23,FORGE_F1,no,DOCS,DOC_RECEIPT_ONLY,docs(forge-f1): phase 0 - parity container pinned (mixed_low; sha256 banked) + qwen36/olmoe mechanism census
f04359aab31a388cc47d36e96c3ea36400061cb6,2026-08-23,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,feat(qwen36): prefillbatch residual instrumentation + QD saturation finding
0016fd38e6d1d62486df1bfd1229386113f63066,2026-08-23,PRODUCTION_CAMPAIGN,no,TOOLS,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,tools(qwen36): argmax-prune discriminators (falsified) + krs/adj probes banked
784fc3c9f2b23128fc0dd0371227ee1b8e1a1582,2026-08-23,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): W9 STRUCTURAL repair - ACQ_MODE_DEMAND/PRELOAD threaded through AcqRes
96746637cc4d68eddec37fa18af48475e1a21eea,2026-08-23,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): W9/W10 repairs - g_acq_silent telemetry mode for batch preload (canonical pass owns all DEMAND events exactly once; silent loads classify to pilot buckets) + K<=8 fail-closed guard on batch scratch width. Post-repair: units pass; parity EXACT; 20-run 2x2 factorial A/B/C/D wall means 70.48/65.70/59.78/56.76s (fused -6.8%; batch -15.2%; both -19.5%; interaction +1.76s sub-additive; dispersion <1.5%). Receipt: QWEN36_FUSED_BATCH_PROMGATE_RECEIPT_20260823.md
653ec6397440ccc14f3dc8657d6fee4fa748a6d1,2026-08-23,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,feat(qwen36): FUSED_EXPERT_LOAD + PREFILL_BATCH_ACQUISITION - +16.6% warm median; parity exact
5e463e4e5096d078a74b5772960e5847bf323020,2026-08-22,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): spechash scale diagnostic - hash only verified-size reads; drop dead loop (adjudication hygiene)
9ac18b61636f444e1729d92e4fee2f6a42c472dc,2026-08-22,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): SHADOW_POINTER_ROOT_CAUSE - propagate *out=ss in spec_serve branch
38c68d8da5ce90640497eb7cd203ccb6c8395c4f,2026-08-22,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,feat(qwen36): SPEC_SHADOW_RING_W1 - staging speculation behind COLI_SPEC_DEPTH (default OFF)
57b2444b1f519012aabf70f34e9c67391eccef09,2026-08-22,PRODUCTION_CAMPAIGN,no,TOOLS,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,feat(qwen36): LEADTIME_HARVEST_V1 + storage forensics + early-router analyzer
418e7489b2245422edb341aedf2491be4ff65cc4,2026-08-22,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,feat(qwen36): ASYNC_EXPERT_ACQUISITION_V1 - acquire/finish split + env-gated discriminators
5dc15f4ed8e6c86b08cd18f1ada247d571a8de3d,2026-08-22,PRODUCTION_CAMPAIGN,no,TESTS,TEST_VALIDATION_REQUIRED,docs(qwen36): tournament terminology per adjudication - negligible/below-materiality replaces noise; materiality threshold made explicit
b7e823a40f0c0a8754480e841cbbf496ff5069aa,2026-08-22,PRODUCTION_CAMPAIGN,no,TESTS,TEST_VALIDATION_REQUIRED,feat(qwen36): CACHE POLICY TOURNAMENT P1 - offline screening; no runtime changes
4917db5a36ae5fb73e1dc519847ac1fff13043e4,2026-08-22,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): COUNTERFACTUAL REPLAY V4R.2 - real ordinal divergence + policy-independent EOF scoring
400c3875bccbd36ab9d4616ca81d7bc28f6b3b5d,2026-08-22,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): COUNTERFACTUAL REPLAY V4R.1 - exogenous clock + real oracle gate
3d55e925e89c42c60430ea41360a152011de6f1e,2026-08-22,PRODUCTION_CAMPAIGN,no,TESTS,TEST_VALIDATION_REQUIRED,test(qwen36): adversarial fixtures for the counterfactual simulator (V4R gates)
00d845d505a02c2c0332205064d2f31fcd266b2b,2026-08-22,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): COUNTERFACTUAL_REPLAY_V4R - policy-independence repair
03fd7609afa4e97fe7446c74c4daddb4aaf7d8dc,2026-08-21,PRODUCTION_CAMPAIGN,no,BUILD_CI,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,build(qwen36): add qwen36_policy_sim Makefile target
947fa30e9dad9f24ac473fd3aba67d62804d7b83,2026-08-21,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,feat(qwen36): COUNTERFACTUAL_CACHE_REPLAY_FOUNDATION_V4 - policy-independent request stream + native simulator
2abb9cf487fe4eb927f72022d677746672be06a6,2026-08-21,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): PILOT_DUPLICATE_RESIDENCY_CAUSAL_REPAIR - per-expert loading registry coalesces concurrent admissions
bdfe26b18cc0f84673eb3f42ebdf0e0bbe7f30d8,2026-08-21,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): TRACE_REPLAY_READINESS_REPAIR - slot-indexed mutation trace; local load results; replay gate
a6899c2614f85e5a134b9612f01f7d97a1d96cd8,2026-08-21,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,feat(qwen36): ADMISSION_INSTRUMENTATION_PHASE1 - decode-window admission decomposition + cache-replay trace
702a95804496f90eb19c7f1e8bf3fbc4bc96ae13,2026-08-21,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,feat(qwen36): wire MoE high-resolution profiling timers and implement reversible top-8 expert-parallel execution
15a2bee0943cb4d786af064d2f1aee411efb8fc7,2026-08-21,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,Phase 1-5: MoE high-resolution profiling - 15 counters + 3 per-token tallies; OpenMP parallel region counter; expert cache format tracking
bfea1917550410a316a6b8444df38ea705e82c95,2026-08-21,PRODUCTION_CAMPAIGN,no,TOOLS,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,Phase 0: Durableize DeltaNet observability - g_dn_sub[4]->[12] named buckets; aggregate expert count overlap labeling; exact allocated_weight_bytes accounting
4fc4772915c9962d759999988527f39a5edeaea0,2026-08-21,PRODUCTION_CAMPAIGN,no,TOOLS,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,feat(qwen36): direct-BF16 GEMQ mixed precision closeout with multi-domain quality evaluation
d66951654d9c3882a6db84f661b4cf8270bdb6ad,2026-08-21,PRODUCTION_CAMPAIGN,no,TOOLS,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,feat(qwen36): implement GEMQ-style mixed INT3/INT4 heterogeneous expert precision runtime and tooling
a3e3db361152fcd6d23ab2b92489f446ee1ceea5,2026-08-21,PRODUCTION_CAMPAIGN,no,TOOLS,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,feat(qwen36): add pure C direct BF16->INT3 converter; validator; and evaluation harness
cdf506da3fa778d9aa8b246622589d12e23e71fa,2026-08-21,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,feat(qwen36): native FP16 embedding residency + fmt=5 INT3-g64 AVX-512 decode
7f27fa14914ede0ca9ab843d1b0a8b4e9f306e17,2026-08-21,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,feat(qwen36): true current-RSS telemetry; exact memory accounting; and expert admission metrics
db5e082e572b868f98c2e8bb40d66cef345542ca,2026-08-21,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,feat(qwen36): packed INT4 expert CPU cache residency with AVX2 grouped GEMV
046842e478f6b6b7c79f1de4da502ce6be209312,2026-08-18,PRODUCTION_CAMPAIGN,no,BUILD_CI,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,ci(qwen36-tiny-check): the sanitizer step asserts memory safety; not tokens
7e226fc6dc5c17510c01021ad32e81bdeb87ad13,2026-08-18,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,docs(qwen36): fix two stale references
67c7490143306f724de2248e88e044b59fbb011c,2026-08-18,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,qwen36: drop the packed int4 buffers this engine never reads
e755280fa6a78b8288e9592ba0b34c590f22d085,2026-08-18,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,qwen36: the remaining cheap items from the review's C list
ca96e128868611eadfc55009bd95ccd4db75e861,2026-08-17,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): refuse a container whose tensors do not match the config (A3+A4)
4e0dc889f5f0d0d8b3b4edcc29df02382b6d9dbc,2026-08-17,PRODUCTION_CAMPAIGN,no,BUILD_CI,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,fix(qwen36): validate every config dimension before the forward pass uses it (A1+A2)
e84005e01fb28c1f8e0186ad89df51af4cbfdc52,2026-08-17,PRODUCTION_CAMPAIGN,no,BUILD_CI,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,ci(qwen36-tiny-check): make the gate deterministic and actually exact
9ae0c8a8c50b7c817cd748286870373f9e86765f,2026-08-17,PRODUCTION_CAMPAIGN,no,BUILD_CI,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,ci: build and ship qwen36; and gate it against a tiny oracle (B5 + B5b)
3252675c9461df6ba1a1e2384eddfaa9cce23324,2026-08-16,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): expert_get must not evict an in-flight slot (A5)
c30c5457bbe89c1a7349f8794c8f4ab0c04750a1,2026-08-13,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): heap per-thread attention score rows — 8k context smashed the stack
6a9f2930c45863957a9ebe36acdef6c9a0928c33,2026-08-03,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,feat(qwen36): qwen chat-template family in the gateway
342f1042c1aef28cb65e4b0eefb792f8d7e7854e,2026-08-03,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): serve EOS ids from the tokenizer; not the 151k-vocab constant
2ff73e0494194c19f08032d1465dbc0d0f8fcb88,2026-08-03,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,fix(qwen36): serve mode must not require an argv prompt file
24d3c89e55204a7f5650bd85eff7401a86cc6d47,2026-08-03,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,docs(qwen36): user-facing page — prebuilt containers as the easy path
5a0715e744da1e36f713ddf684d7bdd71e8210eb,2026-08-01,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,feat(qwen36): group-scaled int4 (gs64) containers — converter flag + CPU read path
9c901b54031f1aa7ae6db0631ab699dc636e69f0,2026-08-01,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,feat(qwen36): make engine drivable by coli + SERVE=1 gateway protocol
fc52d73ed8c0cb44ba11b1c347db8bd43b16572c,2026-07-30,PRODUCTION_CAMPAIGN,no,QWEN36,QWEN36_REQUIRED,feat(qwen36): add Qwen3.6-35B-A3B engine (CPU): hybrid Gated Attention + Gated DeltaNet + streaming MoE
a0d7cfbe57872c24cd9fb6485598a6ae12e5df06,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1087 from terrizoaguimor/refactor/serve-codec-olmoe
256bbe998bf1324fc725f8ff11e3dead957892fb,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1088 from JustVugg/perf/k2-union-tile
4da41bf852991558b93437bdb25d18724c13ac07,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1089 from JustVugg/fix/exactness-avx512-gate
19afc84ae25d5799df2fde64b60426d5761cdb91,2026-08-18,PRODUCTION_CAMPAIGN,no,TESTS,TEST_VALIDATION_REQUIRED,fix(test): the f32 planar assertion must mirror planar_on() exactly
3cb832f2330e27e9af6fc22010d5a77f40c87fc4,2026-08-18,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,perf(colibri): K2 — 1x4 union tile in the planar IDOT matmul (bit-identical)
0ad0ca73190c1304afe46d5baf075db7022b5aa4,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1086 from JustVugg/fix/k1-followup
1de2939cd435e47fd6b79ac29598cdc7b2cfcdff,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1085 from JustVugg/docs/changelog-summary
b04d60207ae86318560333cbb238dc6cfed930a1,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1084 from JustVugg/fix/web-triplet
6104bbb3b0b92438b334200dbaaa58e535b3cd1e,2026-08-18,PRODUCTION_CAMPAIGN,no,TESTS,TEST_VALIDATION_REQUIRED,refactor(serve): share framing with OLMoE
feb9dba78c2797d01113561f3027b92801614de4,2026-08-18,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,fix(k1): planar off on non-AVX2 builds; drop WIP loop; f32 planar in the exactness gate
2d2d92d02c72f51c411a88e0cbaff70adb94ff31,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1083 from JustVugg/ci/arm-oracle
a8e0a5f13ade6751329d8eb33c13e25f8a9c8498,2026-08-18,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,docs: CHANGELOG catch-up v1.2.0–v1.6.2; SUMMARY.md was an experiment report
6c630912a1605da15836cced1cd7b40eee34dae9,2026-08-18,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,fix(web): auto-connect in useEffect; atlas from engine origin; drop inert ternary
438d09a45d09818e9e9dbec122c4e2a82d57dfba,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1082 from JustVugg/perf/fused3-olmoe
62b8d6324387fda2a4c2462c09163c4fc70dcf48,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1080 from JustVugg/fix/inkling-idot-optin
a2ce84e3887ed06580027c9995262311bb04d158,2026-08-18,PRODUCTION_CAMPAIGN,no,BUILD_CI,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,ci: ARM oracle job + integer-kernel bit-exactness gate (closes #1081)
d2d9fd673d39910bba8eb480909f667d7ac818d4,2026-08-14,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,feat(moe): FUSED3=1 opt-in AVX2 expert matmul — vectorized activation quant + gate/up pair
fae9553f735e2c11d065720412eeb9123b7ad98c,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1079 from JustVugg/perf/k1-planar
01d59ae6ed20f4c3b76825a2311a9f96f78b11a3,2026-08-18,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,fix(inkling): IDOT opt-in — the fast path is x86-only and not token-equivalent
6132a67df66cf72b3c9d86dfba9b487f4ac3138d,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1073 from bherald/fix/k3-prefill-cancellation
aa053647ef0f30d1dee017a010c693db141bd8ec,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1074 from bherald/fix/server-cancel-accounting
73cc7e1c581b5ccd4890775012110de9396f7dfc,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1072 from bherald/docs/k3-mmap-rss-accounting
d8ea56f031f272cf532b864daac6dad972235c6a,2026-08-18,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,perf(colibri): K1 — plane-nibble int4 layout + unsigned-VNNI dot (bit-identical)
63b803677f9efe7632650d257826065547ed11a0,2026-08-18,PRODUCTION_CAMPAIGN,no,OLMOE,UNRELATED_BUT_INTENDED_PRODUCTION,test(serve): freeze OLMoE wire framing
17be735252e9f1fec4e61019066671b9f1eb1f42,2026-08-18,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,wip(k1): planar int4 kernels — dot_i4p_u; matmul_i4p_idot; matmul_i4p + planarize_i4
57eeb7314f03c448f87aadd95a4cf0a18fda7ca9,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1058 from zh-Processor/main
377a6ebe6e4497005051965a1458a0688bc69706,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1077 from JustVugg/perf/qrow-hoist-v4b
f70b1edb536f8b5757ef57efcf5ef40c0a025889,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1076 from JustVugg/perf/qrow-hoist-v4
7c6cdc8f4697b422012414fb8cceb054d2ab5bcd,2026-08-18,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,perf(deepseek_v4): qdq the attention input once — wq_a and wkv share it
45e0f991c43029c41ce41bc0eeef1ba24533e966,2026-08-18,PRODUCTION_CAMPAIGN,no,DEEPSEEK,UNRELATED_BUT_INTENDED_PRODUCTION,fix: extend the qdq scratch to the DUAL and BATCH units too
19fba39e12d2cb182461813ce99d0a127f12cf00,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge branch 'dev' into main
853a90a4895f3a019ac982696e7c45bd2d1147f8,2026-08-18,PRODUCTION_CAMPAIGN,no,DEEPSEEK,UNRELATED_BUT_INTENDED_PRODUCTION,perf(deepseek_v4): thread-local scratch for qdq activations (bit-identical)
5d0986cdadd2fa4e9f12b8bc4ab7963236342f8e,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1075 from JustVugg/perf/qrow-hoist-k3
a7f2f64e49d4db6006df2b6b0fb77a95f797306c,2026-08-18,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,perf(kimi_k3): hoist expert activation quantization to layer level (bit-identical)
c945cd51bcaede2c8e62c56100b6b250983e4b76,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1071 from JustVugg/perf/qrow-hoist
85123689f2c1d0704243f35d4cc96d906bb1c4e3,2026-08-18,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #964 from 8PotatoChip8/v4/expert-store-registry
e5ff623aa8fa389008300502fcb9da0d2aa2bbf9,2026-08-17,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,fix(k3): cancel prefill between layers
c3e3eddc3cf2d9618f2b8d7c308298c86a0e6e35,2026-08-17,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,fix(server): account admitted client cancellations
804732e9423e6fa40efc920fa210394d32754654,2026-08-17,PRODUCTION_CAMPAIGN,no,DOCS,CAMPAIGN_EVIDENCE_ONLY,docs(k3): clarify mmap RSS accounting
5e8e99debbd0c1b0ba6e5552752db7c7a08cb1b3,2026-08-17,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,perf: hoist expert activation quantization to layer level (bit-identical)
d4894f03d442854f04708c8fcf77afc2ab09a184,2026-08-17,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1036 from lineape/pr551-rebased
f4dcbed61fa015a073e6fd2988de57a6b74182bd,2026-08-17,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1017 from weber-software/dev
58e6c4478634dee28dc1a7cad0d79eb5b3e61d52,2026-08-17,PRODUCTION_CAMPAIGN,yes,NONE,UNRELATED_BUT_INTENDED_PRODUCTION,Merge pull request #1068 from terrizoaguimor/refactor/family-registry-dispatch
ca17810802ee43992b0fa0afbe82e1ee74802eb8,2026-08-17,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,perf: byte-identical CPU/startup optimizations
89365ae6b49fd457c8dbd5347d4f02a0b7d9f044,2026-08-11,PRODUCTION_CAMPAIGN,no,DEEPSEEK,UNRELATED_BUT_INTENDED_PRODUCTION,v4: pluggable expert-store backend registry
2ecb5d472434559f0b3bda627346e2838d98f8fd,2026-08-16,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,refactor(core): finish registry-owned family dispatch
6bfbd3e94d97ae1b978b3715ea08de9d24d688b0,2026-08-16,PRODUCTION_CAMPAIGN,no,BUILD_CI,GENERIC_RUNTIME_PREREQUISITE_REQUIRED,build: install cluster.py; complete test_cluster_protocol prerequisites
7875c214811a33369dc607aa5de910eab66387aa,2026-08-16,PRODUCTION_CAMPAIGN,no,OTHER,UNRELATED_BUT_INTENDED_PRODUCTION,fix: check the model directory before resolving its family
